idx	v_val	p_in	p_out	v_vec	time
0	0.14444677739159062	[0.01, 0.1, 0.0]	[0.49628908 0.         0.        ]	"[0.00000000e+00 3.59738794e-17 6.87155065e-17 4.14652274e-01
 5.51342606e-17 1.16230877e-20 5.85347726e-01]"	5.526148319244385
1	0.15285348336088916	[0.01, 0.1, 0.01]	[4.96279284e-01 1.59869176e-16 0.00000000e+00]	"[4.33791763e-18 7.46884276e-17 1.94322463e-17 4.13433767e-01
 6.03596606e-18 1.66761713e-16 5.86566233e-01]"	5.025266885757446
2	0.16097930262445573	[0.01, 0.1, 0.02]	[4.96271474e-01 7.49045409e-17 1.00119627e-16]	"[0.00000000e+00 0.00000000e+00 2.71405997e-17 4.12445698e-01
 1.00176998e-16 4.50060650e-17 5.87554302e-01]"	6.514749526977539
3	0.14919942130299169	[0.01, 0.11, 0.0]	[0.49636715 0.         0.        ]	"[2.07291568e-18 1.76625737e-17 0.00000000e+00 4.24746598e-01
 0.00000000e+00 1.96735029e-17 5.75253402e-01]"	8.674751043319702
4	0.15749596618417444	[0.01, 0.11, 0.01]	[4.96353171e-01 2.18110596e-16 0.00000000e+00]	"[1.44800388e-17 4.73274180e-17 6.38505576e-20 4.22821171e-01
 1.04741388e-16 2.19359591e-17 5.77178829e-01]"	7.152668237686157
5	0.1655076634424997	[0.01, 0.11, 0.02]	[4.96340729e-01 0.00000000e+00 1.99801522e-16]	"[0.00000000e+00 7.38859195e-17 2.65452576e-17 4.21201856e-01
 7.67382979e-18 0.00000000e+00 5.78798144e-01]"	8.293307304382324
6	0.15375274787412535	[0.01, 0.12, 0.0]	[4.96436624e-01 2.19976598e-16 2.98747046e-16]	"[1.15948015e-16 7.74421619e-17 0.00000000e+00 4.34042184e-01
 0.00000000e+00 2.27299635e-17 5.65957816e-01]"	8.247892618179321
7	0.16194508106985256	[0.01, 0.12, 0.01]	[4.96413869e-01 1.44527993e-16 0.00000000e+00]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 4.31477954e-01
 1.33913638e-16 1.46305391e-17 5.68522046e-01]"	7.623723983764648
8	0.16984798349428443	[0.01, 0.12, 0.02]	[4.96398120e-01 1.94489191e-16 5.55111512e-17]	"[1.20130602e-21 3.49490022e-21 4.68421910e-21 4.29296618e-01
 1.01143521e-21 9.59988594e-17 5.70703382e-01]"	7.8235297203063965
9	0.15811865912435985	[0.01, 0.13, 0.0]	[0.49649949 0.         0.        ]	"[1.05531217e-16 1.51298227e-17 4.03603047e-18 4.42560726e-01
 0.00000000e+00 1.48234659e-17 5.57439274e-01]"	7.013969659805298
10	0.16621146065788012	[0.01, 0.13, 0.01]	[4.96477166e-01 2.17972357e-16 0.00000000e+00]	"[1.61690739e-16 1.19506588e-16 1.47978893e-16 4.39527015e-01
 0.00000000e+00 0.00000000e+00 5.60472985e-01]"	6.600915431976318
11	0.1740098239938784	[0.01, 0.13, 0.02]	[4.96454042e-01 0.00000000e+00 6.77151210e-18]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 4.36827409e-01
 9.95686887e-17 3.30481355e-17 5.63172591e-01]"	8.109145402908325
12	0.16230719712196506	[0.01, 0.13999999999999999, 0.0]	[0.49655567 0.         0.        ]	"[0.00000000e+00 0.00000000e+00 3.08925688e-18 4.50498142e-01
 1.48922784e-17 0.00000000e+00 5.49501858e-01]"	7.565993785858154
13	0.17030415663642418	[0.01, 0.13999999999999999, 0.01]	[4.96530251e-01 4.87707322e-17 0.00000000e+00]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 4.46893815e-01
 4.58708384e-17 0.00000000e+00 5.53106185e-01]"	6.955360651016235
14	0.178001389517694	[0.01, 0.13999999999999999, 0.02]	[4.96508527e-01 9.68444531e-17 0.00000000e+00]	"[0.00000000e+00 7.20925281e-17 0.00000000e+00 4.43850803e-01
 9.02943431e-17 1.71396264e-17 5.56149197e-01]"	7.178632497787476
15	0.16632692684604103	[0.01, 0.14999999999999997, 0.0]	[0.49660672 0.         0.        ]	"[0.00000000e+00 0.00000000e+00 7.87039537e-17 4.57871364e-01
 0.00000000e+00 3.26766520e-17 5.42128636e-01]"	7.0034027099609375
16	0.17423094842299602	[0.01, 0.14999999999999997, 0.01]	[4.96579197e-01 2.64981863e-16 1.98187918e-16]	"[1.47400167e-16 1.75008685e-17 0.00000000e+00 4.53891534e-01
 4.04053942e-17 4.95981588e-17 5.46108466e-01]"	6.627056121826172
17	0.18182978146197495	[0.01, 0.14999999999999997, 0.02]	[4.96552053e-01 1.21209048e-16 3.96719536e-16]	"[0.00000000e+00 1.67702366e-18 0.00000000e+00 4.50392620e-01
 1.46187232e-17 0.00000000e+00 5.49607380e-01]"	9.432898044586182
18	0.17018522199834674	[0.01, 0.15999999999999998, 0.0]	[4.96648896e-01 0.00000000e+00 9.88298940e-17]	"[0.00000000e+00 2.15245536e-17 5.26826971e-17 4.64721336e-01
 6.41391809e-17 0.00000000e+00 5.35278664e-01]"	7.478660345077515
19	0.17799858453248302	[0.01, 0.15999999999999998, 0.01]	[0.49662385 0.         0.        ]	"[1.13499762e-17 1.74624336e-17 0.00000000e+00 4.60361108e-01
 5.90674888e-17 0.00000000e+00 5.39638892e-01]"	7.103393316268921
