idx	v_val	p_in	v_vec	time
0	0.0656247295399383	[0.01, 0.1, 0.0]	"[2.22515862e-16 4.97742471e-17 0.00000000e+00 3.74489207e-17
 1.00000000e+00 0.00000000e+00 1.24308900e-16]"	6.731641054153442
1	0.06847191531344794	[0.01, 0.1, 0.01]	"[1.10396284e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.98896037e-01 0.00000000e+00 3.06871370e-15]"	11.675518989562988
2	0.07106237210795015	[0.01, 0.1, 0.02]	"[3.56448074e-02 0.00000000e+00 7.31846932e-17 7.80774206e-02
 8.86277772e-01 7.00602941e-17 0.00000000e+00]"	14.058228731155396
3	0.0688230494023528	[0.01, 0.11, 0.0]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 9.75131056e-03
 9.90248689e-01 1.98180397e-16 0.00000000e+00]"	9.827054738998413
4	0.0715806667945491	[0.01, 0.11, 0.01]	"[7.53013649e-18 3.02036716e-17 5.02047697e-17 2.24357259e-02
 9.77564269e-01 4.44316468e-17 7.71965042e-17]"	8.865456342697144
5	0.07415571115089095	[0.01, 0.11, 0.02]	"[2.61696882e-02 0.00000000e+00 2.54907895e-17 8.48363570e-02
 8.88993955e-01 5.68910609e-17 0.00000000e+00]"	9.630630254745483
6	0.07191636804537069	[0.01, 0.12, 0.0]	"[9.00070113e-17 1.39693465e-16 0.00000000e+00 3.50258218e-02
 9.64974178e-01 8.67704624e-17 0.00000000e+00]"	10.23085904121399
7	0.07458074858614754	[0.01, 0.12, 0.01]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 4.59377120e-02
 9.54062288e-01 0.00000000e+00 5.25173531e-17]"	9.392385482788086
8	0.07711821853874257	[0.01, 0.12, 0.02]	"[1.70988962e-02 0.00000000e+00 0.00000000e+00 8.93140025e-02
 8.93587101e-01 0.00000000e+00 2.44180237e-16]"	10.593175888061523
9	0.07490198751952348	[0.01, 0.13, 0.0]	"[2.65503230e-17 3.02171316e-17 3.68215656e-17 5.79617607e-02
 9.42038239e-01 0.00000000e+00 1.57783366e-16]"	7.160898923873901
10	0.07747603323363053	[0.01, 0.13, 0.01]	"[0.00000000e+00 3.73216995e-17 0.00000000e+00 6.75035427e-02
 9.32496457e-01 0.00000000e+00 0.00000000e+00]"	12.188652753829956
11	0.0799560535297387	[0.01, 0.13, 0.02]	"[8.57646028e-03 2.64947940e-17 0.00000000e+00 9.29591862e-02
 8.98464354e-01 0.00000000e+00 0.00000000e+00]"	9.347743511199951
12	0.0777836537162664	[0.01, 0.13999999999999999, 0.0]	"[7.86361256e-17 0.00000000e+00 0.00000000e+00 7.92881575e-02
 9.20711843e-01 7.35882484e-19 0.00000000e+00]"	10.595401763916016
13	0.08026983541098161	[0.01, 0.13999999999999999, 0.01]	"[3.62680803e-17 0.00000000e+00 0.00000000e+00 8.69884246e-02
 9.13011575e-01 0.00000000e+00 1.04944237e-16]"	6.899144649505615
14	0.08267436599495295	[0.01, 0.13999999999999999, 0.02]	"[6.52774650e-04 1.25510967e-18 1.91263425e-17 9.60422290e-02
 9.03304996e-01 1.35948828e-17 2.27559330e-19]"	25.259089708328247
15	0.08056457872618171	[0.01, 0.14999999999999997, 0.0]	"[0.00000000e+00 9.18509293e-17 0.00000000e+00 9.89983664e-02
 9.01001634e-01 8.08238408e-17 0.00000000e+00]"	8.454864978790283
16	0.08296500362193772	[0.01, 0.14999999999999997, 0.01]	"[0.00000000e+00 2.41904565e-16 0.00000000e+00 1.05566269e-01
 8.94433731e-01 4.21923392e-17 0.00000000e+00]"	7.779354572296143
17	0.0852850089648515	[0.01, 0.14999999999999997, 0.02]	"[2.85584648e-17 2.61013643e-17 7.98683838e-18 1.12561720e-01
 8.87438280e-01 0.00000000e+00 0.00000000e+00]"	6.634683847427368
18	0.08324753953858992	[0.01, 0.15999999999999998, 0.0]	"[3.29505180e-17 0.00000000e+00 2.38335985e-17 1.17140348e-01
 8.82859652e-01 2.01226415e-17 6.40624782e-18]"	11.078423500061035
19	0.08556403845484692	[0.01, 0.15999999999999998, 0.01]	"[1.93484875e-16 0.00000000e+00 0.00000000e+00 1.22935112e-01
 8.77064888e-01 0.00000000e+00 0.00000000e+00]"	12.208503723144531
20	0.08780109201382848	[0.01, 0.15999999999999998, 0.02]	"[4.21957460e-17 1.51130596e-21 0.00000000e+00 1.28025178e-01
 8.71974817e-01 4.74567495e-19 1.46672313e-28]"	7.559396743774414
21	0.08583496095572091	[0.01, 0.16999999999999998, 0.0]	"[2.86866566e-17 8.02243416e-18 5.69665203e-17 1.33833685e-01
 8.66166315e-01 1.09120532e-17 1.85935720e-17]"	8.768142223358154
22	0.08806913031034264	[0.01, 0.16999999999999998, 0.01]	"[1.46236412e-21 9.13977576e-22 7.25118036e-19 1.38898840e-01
 8.61101160e-01 2.95642497e-17 1.58637766e-16]"	8.487993478775024
23	0.09022468058847542	[0.01, 0.16999999999999998, 0.02]	"[3.50876542e-17 0.00000000e+00 2.90459335e-17 1.43591177e-01
 8.56408823e-01 7.15142970e-18 0.00000000e+00]"	8.161797761917114
24	0.08832897469418668	[0.01, 0.17999999999999997, 0.0]	"[0.         0.         0.         0.14968772 0.85031228 0.
 0.        ]"	8.928007125854492
25	0.09048221683121821	[0.01, 0.17999999999999997, 0.01]	"[1.76162730e-15 1.66030215e-16 1.65760421e-16 1.53550161e-01
 8.46449839e-01 1.09349237e-15 0.00000000e+00]"	7.945536136627197
26	0.092557534899419	[0.01, 0.17999999999999997, 0.02]	"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.57604012e-01
 8.42395988e-01 0.00000000e+00 1.98164190e-16]"	7.821081638336182
27	0.09073146971206222	[0.01, 0.18999999999999995, 0.0]	"[0.         0.         0.         0.16431213 0.83568787 0.
 0.        ]"	8.884494066238403
28	0.09280501383470405	[0.01, 0.18999999999999995, 0.01]	"[0.00000000e+00 4.03091326e-14 1.14648521e-14 1.68069177e-01
 8.31930823e-01 4.44727548e-14 7.91784568e-13]"	8.490333318710327
29	0.09480123478009189	[0.01, 0.18999999999999995, 0.02]	"[3.94247616e-18 2.30859712e-17 4.81585010e-21 1.70878653e-01
 8.29121347e-01 8.81035628e-19 0.00000000e+00]"	8.219300985336304
30	0.09304413225472057	[0.01, 0.19999999999999996, 0.0]	"[4.31852787e-17 7.89246932e-18 7.05799148e-18 1.78675634e-01
 8.21324366e-01 7.59593810e-18 0.00000000e+00]"	6.242318630218506
31	0.09503906819388308	[0.01, 0.19999999999999996, 0.01]	"[3.94031704e-17 0.00000000e+00 4.55521500e-17 1.80994865e-01
 8.19005135e-01 1.86760177e-17 3.27376194e-17]"	17.153190851211548
32	0.0969571976514832	[0.01, 0.19999999999999996, 0.02]	"[2.25794333e-17 0.00000000e+00 1.06664931e-16 1.83407121e-01
 8.16592879e-01 1.70363232e-18 7.30935057e-18]"	12.69012713432312
33	0.09526845319771542	[0.01, 0.20999999999999996, 0.0]	"[5.35133602e-17 0.00000000e+00 0.00000000e+00 1.91153757e-01
 8.08846238e-01 0.00000000e+00 2.10871871e-17]"	6.321290493011475
34	0.09718576953412775	[0.01, 0.20999999999999996, 0.01]	"[2.05673179e-17 0.00000000e+00 1.97442370e-17 1.93473012e-01
 8.06526988e-01 0.00000000e+00 1.88342084e-17]"	10.787059783935547
35	0.09902670467882592	[0.01, 0.20999999999999996, 0.02]	"[3.24740440e-17 1.09015200e-20 0.00000000e+00 1.95225694e-01
 8.04774306e-01 0.00000000e+00 0.00000000e+00]"	8.484721660614014
36	0.09740580453829195	[0.01, 0.21999999999999995, 0.0]	"[0.00000000e+00 6.06125288e-17 4.53746599e-17 2.03449451e-01
 7.96550549e-01 4.64982080e-17 5.85873886e-17]"	7.26588773727417
37	0.09924637029005545	[0.01, 0.21999999999999995, 0.01]	"[9.29910252e-18 0.00000000e+00 0.00000000e+00 2.05173226e-01
 7.94826774e-01 0.00000000e+00 1.97896524e-18]"	11.158195495605469
38	0.10101091806370585	[0.01, 0.21999999999999995, 0.02]	"[0.         0.         0.         0.20635995 0.79364005 0.
 0.        ]"	7.273564577102661
39	0.09945740987585755	[0.01, 0.22999999999999995, 0.0]	"[2.76589647e-19 1.28203750e-16 4.41147615e-16 2.15148527e-01
 7.84851473e-01 1.27743397e-16 3.23743992e-16]"	6.24735951423645
40	0.10122200897388337	[0.01, 0.22999999999999995, 0.01]	"[8.39673651e-17 0.00000000e+00 0.00000000e+00 2.16116958e-01
 7.83883042e-01 0.00000000e+00 2.13425185e-17]"	7.865668773651123
41	0.10291089568656756	[0.01, 0.22999999999999995, 0.02]	"[0.00000000e+00 8.84147726e-17 0.00000000e+00 2.16973074e-01
 7.83026926e-01 0.00000000e+00 1.95063104e-17]"	13.27828598022461
