idx	v_val	p_in	v_vec	time
0	0.06562472953993831	[0.01, 0.1, 0.0]	"[0.00000000e+00 4.15456677e-17 1.08964988e-16 0.00000000e+00
 1.00000000e+00 4.19234990e-17 0.00000000e+00]"	9.76947283744812
1	0.06847191531705228	[0.01, 0.1, 0.01]	"[1.10269248e-03 4.05447909e-17 7.66323907e-17 1.92067051e-13
 9.98897307e-01 8.62822395e-17 3.16087079e-17]"	13.096912860870361
2	0.07106237386676578	[0.01, 0.1, 0.02]	"[3.55749851e-02 2.11920826e-17 8.22625727e-17 7.76688588e-02
 8.86756156e-01 0.00000000e+00 0.00000000e+00]"	13.80142068862915
3	0.06882304968703681	[0.01, 0.11, 0.0]	"[8.46788683e-20 1.65448635e-17 9.10759279e-20 9.62700735e-03
 9.90372993e-01 1.44132104e-19 2.86257636e-17]"	11.480202913284302
4	0.07158066690402053	[0.01, 0.11, 0.01]	"[0.         0.         0.         0.02228465 0.97771535 0.
 0.        ]"	10.175667524337769
5	0.07415570570574279	[0.01, 0.11, 0.02]	"[2.59307598e-02 7.83037830e-17 0.00000000e+00 8.38247052e-02
 8.90244535e-01 0.00000000e+00 0.00000000e+00]"	13.222943305969238
6	0.07191636864330553	[0.01, 0.12, 0.0]	"[2.49554079e-15 0.00000000e+00 1.57871145e-16 3.51476300e-02
 9.64852369e-01 1.99901386e-16 4.98084578e-16]"	12.353543996810913
7	0.0745807495349599	[0.01, 0.12, 0.01]	"[7.24962069e-13 0.00000000e+00 0.00000000e+00 4.60866655e-02
 9.53913332e-01 0.00000000e+00 2.72919248e-12]"	14.24043083190918
8	0.0771182179846456	[0.01, 0.12, 0.02]	"[1.70560176e-02 0.00000000e+00 0.00000000e+00 8.92370812e-02
 8.93706901e-01 4.64331053e-22 1.09999502e-21]"	16.920708179473877
9	0.07490198714031819	[0.01, 0.13, 0.0]	"[0.00000000e+00 7.79783778e-16 0.00000000e+00 5.80855604e-02
 9.41914440e-01 2.90224366e-16 1.41609080e-16]"	34.483585596084595
10	0.07747603332929483	[0.01, 0.13, 0.01]	"[1.60159560e-16 0.00000000e+00 0.00000000e+00 6.75481514e-02
 9.32451849e-01 1.14303792e-17 4.97687814e-16]"	13.358716249465942
11	0.07995605420298484	[0.01, 0.13, 0.02]	"[0.00867197 0.         0.         0.09326948 0.89805855 0.
 0.        ]"	18.712291717529297
12	0.07778365562589444	[0.01, 0.13999999999999999, 0.0]	"[9.16746930e-17 3.28881128e-18 0.00000000e+00 7.90384943e-02
 9.20961506e-01 2.42274532e-17 0.00000000e+00]"	10.951714038848877
13	0.0802698310824169	[0.01, 0.13999999999999999, 0.01]	"[1.16107696e-16 0.00000000e+00 0.00000000e+00 8.74571018e-02
 9.12542898e-01 0.00000000e+00 0.00000000e+00]"	15.34740161895752
14	0.08267436721593555	[0.01, 0.13999999999999999, 0.02]	"[5.67663525e-04 6.44049558e-17 0.00000000e+00 9.57366029e-02
 9.03695734e-01 3.01434658e-16 2.64986466e-16]"	16.803476810455322
15	0.08056457845509013	[0.01, 0.14999999999999997, 0.0]	"[3.72238539e-16 8.31217620e-18 0.00000000e+00 9.88474794e-02
 9.01152521e-01 2.14166869e-16 4.97427464e-18]"	13.204529285430908
16	0.08296500300570814	[0.01, 0.14999999999999997, 0.01]	"[6.45658030e-17 0.00000000e+00 5.36569535e-21 1.05859204e-01
 8.94140782e-01 1.70700950e-21 0.00000000e+00]"	11.305180072784424
17	0.08528500162672267	[0.01, 0.14999999999999997, 0.02]	"[0.         0.         0.         0.11206557 0.88793443 0.
 0.        ]"	11.672596216201782
18	0.08324753923366685	[0.01, 0.15999999999999998, 0.0]	"[0.00000000e+00 0.00000000e+00 3.42114609e-17 1.17044385e-01
 8.82955615e-01 9.57909274e-17 0.00000000e+00]"	14.624975681304932
19	0.0855640403004277	[0.01, 0.15999999999999998, 0.01]	"[4.26264789e-17 5.45868647e-17 0.00000000e+00 1.23186309e-01
 8.76813691e-01 0.00000000e+00 0.00000000e+00]"	10.227620363235474
20	0.08780108984380261	[0.01, 0.15999999999999998, 0.02]	"[0.00000000e+00 2.32252865e-17 0.00000000e+00 1.28290337e-01
 8.71709663e-01 4.30580779e-17 0.00000000e+00]"	12.0382661819458
21	0.08583496066365977	[0.01, 0.16999999999999998, 0.0]	"[1.44448671e-16 1.44140194e-17 0.00000000e+00 1.33907320e-01
 8.66092680e-01 0.00000000e+00 1.83131652e-16]"	14.669866561889648
22	0.0880691306808182	[0.01, 0.16999999999999998, 0.01]	"[0.00000000e+00 8.72639121e-17 6.65893408e-17 1.39023389e-01
 8.60976611e-01 1.46489199e-16 1.03620294e-16]"	12.423721075057983
23	0.09022468106005226	[0.01, 0.16999999999999998, 0.02]	"[1.81931712e-16 0.00000000e+00 0.00000000e+00 1.43624046e-01
 8.56375954e-01 0.00000000e+00 0.00000000e+00]"	13.29169225692749
24	0.08832897469502654	[0.01, 0.17999999999999997, 0.0]	"[0.00000000e+00 1.13679368e-17 0.00000000e+00 1.49693583e-01
 8.50306417e-01 1.71906285e-19 0.00000000e+00]"	18.577827215194702
25	0.0904822197449379	[0.01, 0.17999999999999997, 0.01]	"[5.73137940e-17 1.66548833e-17 0.00000000e+00 1.54272423e-01
 8.45727577e-01 0.00000000e+00 0.00000000e+00]"	24.567611932754517
26	0.09255753497174567	[0.01, 0.17999999999999997, 0.02]	"[0.         0.         0.         0.15762753 0.84237247 0.
 0.        ]"	17.191959857940674
27	0.0907314702150124	[0.01, 0.18999999999999995, 0.0]	"[0.00000000e+00 5.72770104e-17 0.00000000e+00 1.64601037e-01
 8.35398963e-01 1.24434238e-22 5.68461875e-18]"	12.954657793045044
28	0.09280501224266323	[0.01, 0.18999999999999995, 0.01]	"[9.58852685e-20 7.78527543e-17 3.86164032e-17 1.67819982e-01
 8.32180018e-01 2.17554310e-19 9.63856291e-18]"	11.3807053565979
29	0.09480123576410565	[0.01, 0.18999999999999995, 0.02]	"[3.20562614e-18 1.69948383e-17 6.06723537e-17 1.71046154e-01
 8.28953845e-01 9.75733302e-17 1.36414148e-16]"	10.327420949935913
30	0.09304412696529905	[0.01, 0.19999999999999996, 0.0]	"[0.00000000e+00 4.43137092e-20 4.01920118e-20 1.78378186e-01
 8.21621810e-01 2.32732722e-20 6.65693751e-20]"	10.44077467918396
31	0.09503906818563296	[0.01, 0.19999999999999996, 0.01]	"[7.06396752e-17 0.00000000e+00 0.00000000e+00 1.81000849e-01
 8.18999151e-01 0.00000000e+00 8.43026146e-18]"	12.771354675292969
32	0.09695719796839425	[0.01, 0.19999999999999996, 0.02]	"[2.76926431e-19 2.28176221e-19 2.42908308e-17 1.83330636e-01
 8.16669364e-01 1.00509715e-17 1.45642209e-17]"	11.059748411178589
33	0.09526845229224884	[0.01, 0.20999999999999996, 0.0]	"[0.         0.         0.         0.19129759 0.80870241 0.
 0.        ]"	12.686835527420044
34	0.09718576940387477	[0.01, 0.20999999999999996, 0.01]	"[4.46184020e-18 0.00000000e+00 0.00000000e+00 1.93428525e-01
 8.06571475e-01 0.00000000e+00 4.02732968e-16]"	13.352630138397217
35	0.09902670545117642	[0.01, 0.20999999999999996, 0.02]	"[3.00262084e-17 2.25394401e-17 4.77938787e-17 1.95344967e-01
 8.04655029e-01 2.01085472e-17 1.39836926e-17]"	9.972690105438232
36	0.09740580435150897	[0.01, 0.21999999999999995, 0.0]	"[0.00000000e+00 0.00000000e+00 8.85835490e-18 2.03534725e-01
 7.96465275e-01 2.80532284e-17 2.77555732e-17]"	35.012420415878296
37	0.09924637020006456	[0.01, 0.21999999999999995, 0.01]	"[1.02136192e-17 0.00000000e+00 0.00000000e+00 2.05064147e-01
 7.94935853e-01 2.11286903e-17 1.41801200e-16]"	11.205906391143799
38	0.10101091836153815	[0.01, 0.21999999999999995, 0.02]	"[0.00000000e+00 6.07837436e-17 0.00000000e+00 2.06521490e-01
 7.93478510e-01 0.00000000e+00 0.00000000e+00]"	7.721440076828003
39	0.09945741218132717	[0.01, 0.22999999999999995, 0.0]	"[3.33974859e-20 5.79780542e-17 7.17073934e-17 2.15304231e-01
 7.84695762e-01 7.26829763e-18 1.33908762e-16]"	9.897395133972168
40	0.10122200971948082	[0.01, 0.22999999999999995, 0.01]	"[8.64822254e-16 0.00000000e+00 0.00000000e+00 2.16020002e-01
 7.83979998e-01 0.00000000e+00 1.03548383e-14]"	10.07709550857544
41	0.10291089769933612	[0.01, 0.22999999999999995, 0.02]	"[2.15249648e-17 1.78119903e-17 0.00000000e+00 2.17210672e-01
 7.82789328e-01 0.00000000e+00 3.95740112e-16]"	9.843344449996948
