idx	v_val	v_vec	p_in	p_out
0	0.3742385996425291	"[0.         0.         0.         0.03471741 0.         0.96528259
 0.        ]"	[0.1, 0.3, 0.01]	[1.00000000e+00 0.00000000e+00 2.17669617e-16]
1	0.055937181887770186	"[3.89267270e-16 8.80096408e-26 5.64123593e-01 1.49148811e-26
 4.68732263e-16 2.57404841e-25 4.35876407e-01]"	[1.00000000e+00 0.00000000e+00 2.17669617e-16]	[0.01137143 0.5217347  0.0011637 ]
2	0.23567700046288598	"[0.00000000e+00 8.94347657e-17 4.44667652e-17 5.47304723e-01
 0.00000000e+00 1.07624288e-16 4.52695277e-01]"	[0.01137143 0.5217347  0.0011637 ]	[4.97140422e-01 0.00000000e+00 2.64542754e-16]
3	0.43936685206394155	"[4.89452002e-01 8.79106043e-16 6.50524939e-16 3.12090067e-16
 5.10547998e-01 3.83465494e-16 1.20056634e-15]"	[4.97140422e-01 0.00000000e+00 2.64542754e-16]	[0.         0.52398287 0.        ]
4	0.12916847595616363	"[1.02979541e-16 1.31337468e-16 8.09882759e-20 8.21733043e-01
 5.22195448e-20 9.39935624e-17 1.78266957e-01]"	[0.         0.52398287 0.        ]	[4.98184365e-01 0.00000000e+00 8.99510698e-16]
5	0.439320070026515	"[4.90078072e-01 0.00000000e+00 8.68376970e-24 0.00000000e+00
 5.09921928e-01 0.00000000e+00 2.45743609e-23]"	[4.98184365e-01 0.00000000e+00 8.99510698e-16]	[0.         0.52399317 0.        ]
6	0.12916817630542776	"[0.00000000e+00 6.52136705e-18 6.77050544e-18 8.21724234e-01
 9.74349403e-18 1.08713223e-20 1.78275766e-01]"	[0.         0.52399317 0.        ]	[4.98184652e-01 4.09119731e-16 5.93120639e-16]
7	0.4393200486339879	"[4.89865439e-01 2.92085253e-16 2.64311103e-16 1.06853272e-16
 5.10134561e-01 1.11322144e-16 4.55628181e-16]"	[4.98184652e-01 4.09119731e-16 5.93120639e-16]	[2.26253239e-16 5.23989913e-01 0.00000000e+00]
8	0.12916827099575723	"[1.93322287e-19 3.16332137e-17 0.00000000e+00 8.21738179e-01
 1.11843492e-17 0.00000000e+00 1.78261821e-01]"	[2.26253239e-16 5.23989913e-01 0.00000000e+00]	[4.98184212e-01 8.51903062e-17 0.00000000e+00]
9	0.43932006896191117	"[4.89860455e-01 7.86849795e-17 0.00000000e+00 0.00000000e+00
 5.10139545e-01 0.00000000e+00 0.00000000e+00]"	[4.98184212e-01 8.51903062e-17 0.00000000e+00]	[2.84912458e-17 5.23990804e-01 0.00000000e+00]
